i	f_sup	f_swg	f_swg_id	traj_params	h_max
25	[0.9939885688057848, -0.01987515971418302, 0.10000000149011612, 3.141592653589793]	[1.0323944273513905, -0.33376206614606163, 0.10000000149011612, 2.941592653589793]	Left	[-23.99999999999998, 4.799999999999997]	0.24
26	[0.8139885688057847, -0.219875159714183, 0.10000000149011612, 2.941592653589793]	[0.9939885688057848, -0.01987515971418302, 0.10000000149011612, 3.141592653589793]	Right	[-15.822955238713597, 3.8974398044312437]	0.24
27	[0.7949184402943226, -0.011941684298230976, 0.10000000149011612, 3.141592653589793]	[0.8139885688057847, -0.219875159714183, 0.10000000149011612, 2.941592653589793]	Left	[-24.186321688658083, 4.8185961462973586]	0.24
28	[0.8549184402943225, -0.211941684298231, 0.10000000149011612, 3.141592653589793]	[0.7949184402943226, -0.011941684298230976, 0.10000000149011612, 3.141592653589793]	Right	[-552.2972535395465, 23.026188642455892]	0.24
29	[0.7549184402943225, 0.03805831570176901, 0.10000000149011612, 2.941592653589793]	[0.8549184402943225, -0.211941684298231, 0.10000000149011612, 3.141592653589793]	Left	[-234.1463414634145, 14.992681141306178]	0.24
30	[0.7640551022660317, -0.21887848860624506, 0.10000000149011612, 2.7415926535897928]	[0.7549184402943225, 0.03805831570176901, 0.10000000149011612, 2.941592653589793]	Right	[-115.60324095963537, 10.534662373386722]	0.24
31	[0.751932065798223, 0.11195837751783153, 0.10000000149011612, 2.941592653589793]	[0.7640551022660317, -0.21887848860624506, 0.10000000149011612, 2.7415926535897928]	Left	[-175.49832849394525, 12.97992277920741]	0.24
32	[0.7710021943096852, -0.0959750978981205, 0.10000000149011612, 2.7415926535897928]	[0.751932065798223, 0.11195837751783153, 0.10000000149011612, 2.941592653589793]	Right	[-63.35167778546549, 7.798564654732745]	0.24
33	[0.7762506804865594, 0.17323198483346583, 0.10000000149011612, 2.7415926535897928]	[0.7710021943096852, -0.0959750978981205, 0.10000000149011612, 2.7415926535897928]	Left	[-220.90040056166035, 14.56243058487126]	0.24
34	[0.4475811491733006, -0.013520094636409907, 0.20000000298023224, 2.941592653589793]	[0.7762506804865594, 0.17323198483346583, 0.10000000149011612, 2.7415926535897928]	Right	[-6.822262091739386, 2.5766525216969645]	0.24
35	[0.2618997024288273, 0.22818716701470257, 0.20000000298023224, 2.941592653589793]	[0.4475811491733006, -0.013520094636409907, 0.20000000298023224, 2.941592653589793]	Left	[-2.840303894188996, 1.6625474908531646]	0.24
36	[0.1042922454061847, -0.04596587325816373, 0.20000000298023224, 2.7415926535897928]	[0.2618997024288273, 0.22818716701470257, 0.20000000298023224, 2.941592653589793]	Right	[-8.074011774600502, 2.784070994715559]	0.24
37	[0.27638140773895303, 0.2069873244041827, 0.20000000298023224, 2.5415926535897926]	[0.1042922454061847, -0.04596587325816373, 0.20000000298023224, 2.7415926535897928]	Left	[-1456.4142648665686, 37.39194691737655]	0.24
38	[-0.05460640203903189, 0.1305211895576215, 0.20000000298023224, 2.7415926535897928]	[0.27638140773895303, 0.2069873244041827, 0.20000000298023224, 2.5415926535897926]	Right	[-17.022343962729423, 4.042455961939504]	0.24
39	[0.0069554410133902955, 0.430204588297006, 0.20000000298023224, 2.5415926535897926]	[-0.05460640203903189, 0.1305211895576215, 0.20000000298023224, 2.7415926535897928]	Left	[-7.842093023463072, 2.7437946903011072]	0.24
40	[-0.10597305366561689, 0.2651374653150704, 0.20000000298023224, 2.5415926535897926]	[0.0069554410133902955, 0.430204588297006, 0.20000000298023224, 2.5415926535897926]	Right	[-46.24260840018174, 6.6628000168228425]	0.24
41	[-0.08035942140421283, 0.5505213153177948, 0.20000000298023224, 2.7415926535897928]	[-0.10597305366561689, 0.2651374653150704, 0.20000000298023224, 2.5415926535897926]	Left	[-43.438914027149366, 6.4576588223646025]	0.24
42	[-0.2524485837369812, 0.2975681176554484, 0.20000000298023224, 2.5415926535897926]	[-0.08035942140421283, 0.5505213153177948, 0.20000000298023224, 2.7415926535897928]	Right	[-42.65372245448157, 6.39902911044342]	0.24
43	[-0.19382152687919002, 0.5603662687223714, 0.20000000298023224, 2.7415926535897928]	[-0.2524485837369812, 0.2975681176554484, 0.20000000298023224, 2.5415926535897926]	Left	[-74.01369530990671, 8.429302906973414]	0.24
44	[-0.21644153570074712, 0.3527889693832753, 0.20000000298023224, 2.5415926535897926]	[-0.19382152687919002, 0.5603662687223714, 0.20000000298023224, 2.7415926535897928]	Right	[-220.9004005616609, 14.56243058487128]	0.24
45	[-0.22384132803573015, 0.6607585183218012, 0.20000000298023224, 2.7415926535897928]	[-0.21644153570074712, 0.3527889693832753, 0.20000000298023224, 2.5415926535897926]	Left	[-87.43334836568243, 9.16166002594809]	0.24
46	[-0.24646133685728724, 0.45318121898270514, 0.20000000298023224, 2.7415926535897928]	[-0.22384132803573015, 0.6607585183218012, 0.20000000298023224, 2.7415926535897928]	Right	[-87.43334836568243, 9.16166002594809]	0.24
47	[-0.2585843733250959, 0.7840180851067817, 0.20000000298023224, 2.5415926535897926]	[-0.24646133685728724, 0.45318121898270514, 0.20000000298023224, 2.7415926535897928]	Left	[-58.5365853658537, 7.496340570653094]	0.24
48	[-0.6178043067728325, 0.6662851695147367, 0.10000000149011612, 2.5415926535897926]	[-0.2585843733250959, 0.7840180851067817, 0.20000000298023224, 2.5415926535897926]	Right	[-6.328116280115097, 2.475791662670519]	0.24
49	[-0.6534362227775673, 0.9329879377077788, 0.10000000149011612, 2.7415926535897928]	[-0.6178043067728325, 0.6662851695147367, 0.10000000149011612, 2.5415926535897926]	Left	[-6.513194851096196, 2.5117355135555988]	0.24
50	[-0.7702617254701626, 0.6566696395069134, 0.10000000149011612, 2.5415926535897926]	[-0.6534362227775673, 0.9329879377077788, 0.10000000149011612, 2.7415926535897928]	Right	[-41.13864407581048, 6.284353452247738]	0.24
51	[-0.6078130938965747, 0.7878582140851468, 0.10000000149011612, 2.3415926535897924]	[-0.7702617254701626, 0.6566696395069134, 0.10000000149011612, 2.5415926535897926]	Left	[-41.479242121227124, 6.310314765237788]	0.24
52	[-0.7930867146373093, 0.6915582376696852, 0.10000000149011612, 2.3415926535897924]	[-0.6078130938965747, 0.7878582140851468, 0.10000000149011612, 2.3415926535897924]	Right	[-552.2972535395483, 23.026188642455928]	0.24
53	[-0.6078130938965747, 0.7878582140851468, 0.10000000149011612, 2.5415926535897926]	[-0.7930867146373093, 0.6915582376696852, 0.10000000149011612, 2.3415926535897924]	Left	[0]	0
54	[-0.9388009036745596, 0.7113920792385856, 0.10000000149011612, 2.5415926535897926]	[-0.6078130938965747, 0.7878582140851468, 0.10000000149011612, 2.5415926535897926]	Right	[-44.3909981796432, 6.52804398364912]	0.24
55	[-0.7763522721009717, 0.842580653816819, 0.10000000149011612, 2.7415926535897928]	[-0.9388009036745596, 0.7113920792385856, 0.10000000149011612, 2.5415926535897926]	Left	[-30.57324840764332, 5.417593420637764]	0.24
56	[-0.9289705173183075, 0.6356805058546169, 0.10000000149011612, 2.7415926535897928]	[-0.7763522721009717, 0.842580653816819, 0.10000000149011612, 2.7415926535897928]	Right	[-164.69719586225403, 12.574152378103419]	0.24
57	[-0.8316159317411448, 0.8659457543553382, 0.10000000149011612, 2.941592653589793]	[-0.9289705173183075, 0.6356805058546169, 0.10000000149011612, 2.7415926535897928]	Left	[-266.6666666666663, 15.99999999999999]	0.24
58	[-1.018492585337684, 0.6487428162063363, 0.10000000149011612, 2.941592653589793]	[-0.8316159317411448, 0.8659457543553382, 0.10000000149011612, 2.941592653589793]	Right	[-117.29023470284145, 10.61124994120522]	0.24
59	[-0.9787587191786717, 0.8447561317745846, 0.10000000149011612, 3.141592653589793]	[-1.018492585337684, 0.6487428162063363, 0.10000000149011612, 2.941592653589793]	Left	[-43.43891402714928, 6.457658822364597]	0.24
60	[-1.1587587191786717, 0.5447561317745846, 0.10000000149011612, 3.3415926535897933]	[-0.9787587191786717, 0.8447561317745846, 0.10000000149011612, 3.141592653589793]	Right	[-31.487985578148184, 5.498042029215696]	0.24
61	[-1.296499243121808, 0.7209025142633267, 0.10000000149011612, 3.3415926535897933]	[-1.1587587191786717, 0.5447561317745846, 0.10000000149011612, 3.3415926535897933]	Left	[-8.254602260696332, 2.8150343106734024]	0.24
62	[-1.1880279157525684, 0.48780602965072, 0.10000000149011612, 3.141592653589793]	[-1.296499243121808, 0.7209025142633267, 0.10000000149011612, 3.3415926535897933]	Right	[-234.1463414634139, 14.992681141306159]	0.24
63	[-1.1280279157525683, 0.68780602965072, 0.10000000149011612, 3.141592653589793]	[-1.1880279157525684, 0.48780602965072, 0.10000000149011612, 3.141592653589793]	Left	[-32.566698063945545, 5.591424696925437]	0.24
