i	f_sup	f_swg	f_swg_id	traj_params	h_max
6505	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[0]	0
6506	[-0.2933910522988831, -0.0937308828303775, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[-384.00000000000017, 19.200000000000003]	0.24
6507	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[0]	0
6508	[-0.23339105229888316, 0.05626911716962252, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6509	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-266.6666666666669, 16.000000000000007]	0.24
6510	[-0.2933910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[-384.00000000000017, 19.200000000000003]	0.24
6511	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-266.6666666666669, 16.000000000000007]	0.24
6512	[-0.23339105229888316, 0.05626911716962252, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6513	[-0.23339105229888316, 0.05626911716962252, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6514	[-0.23339105229888316, 0.1562691171696225, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6515	[-0.2933910522988831, -0.0937308828303775, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[-384.00000000000017, 19.200000000000003]	0.24
