i	f_sup	f_swg	f_swg_id	traj_h
1613	[-1.0259262615041664, -0.30784963211143174, 0.0020500000937317964, -0.8292036732051034]	[-1.1697468995564086, -0.5209590501816942, 0.0020500000937317964, -0.8292036732051034]	Right	0.02
1614	[-1.2139327954454846, -0.3986986452891872, 0.0020500000937317964, -1.0292036732051033]	[-1.0259262615041664, -0.30784963211143174, 0.0020500000937317964, -0.8292036732051034]	Left	0.02
1615	[-0.9069203601753842, -0.4240632779402316, 0.0020500000937317964, -0.8292036732051034]	[-1.2139327954454846, -0.3986986452891872, 0.0020500000937317964, -1.0292036732051033]	Right	0.02
1616	[-1.0065551023385506, -0.7594331009030011, 0.0020500000937317964, -0.6292036732051034]	[-0.9069203601753842, -0.4240632779402316, 0.0020500000937317964, -0.8292036732051034]	Left	0.02
1617	[-1.1650864769019382, -0.36625497148785, 0.0020500000937317964, -1.0292036732051033]	[-1.3801115380653024, -0.4276082360439557, 0.0020500000937317964, -0.8292036732051034]	Right	0.02
1618	[-1.3912230206033345, -0.572318708236426, 0.0020500000937317964, -0.8292036732051034]	[-1.1650864769019382, -0.36625497148785, 0.0020500000937317964, -1.0292036732051033]	Left	0.02
1619	[-1.2474023825510923, -0.3592092901661636, 0.0020500000937317964, -0.8292036732051034]	[-1.3912230206033345, -0.572318708236426, 0.0020500000937317964, -0.8292036732051034]	Right	0.02
1620	[-1.3912230206033345, -0.572318708236426, 0.0020500000937317964, -0.8292036732051034]	[-1.2474023825510923, -0.3592092901661636, 0.0020500000937317964, -0.8292036732051034]	Left	0.02
1621	[-1.3740556519363047, -0.6650833645072832, 0.0020500000937317964, -0.8292036732051034]	[-1.2474023825510923, -0.3592092901661636, 0.0020500000937317964, -0.8292036732051034]	Left	0.02
1622	[-1.2732977531601342, -0.6270327950738179, 0.0020500000937317964, -0.6292036732051034]	[-1.2474023825510923, -0.3592092901661636, 0.0020500000937317964, -0.8292036732051034]	Left	0.02
1623	[-1.1261724738462977, -0.4249086941189204, 0.0020500000937317964, -0.6292036732051034]	[-1.2732977531601342, -0.6270327950738179, 0.0020500000937317964, -0.6292036732051034]	Right	0.02
1624	[-1.2041073139382403, -0.43002344727457914, 0.0020500000937317964, -0.4292036732051034]	[-1.2732977531601342, -0.6270327950738179, 0.0020500000937317964, -0.6292036732051034]	Right	0.02
1625	[-1.4102387475534628, -0.4437169892410793, 0.0020500000937317964, -1.0292036732051033]	[-1.1650864769019382, -0.36625497148785, 0.0020500000937317964, -1.0292036732051033]	Left	0.02
1626	[-1.1460707499518097, -0.4948566904831969, 0.0020500000937317964, -0.8292036732051034]	[-1.4102387475534628, -0.4437169892410793, 0.0020500000937317964, -1.0292036732051033]	Right	0.02
1627	[-1.1016219843606323, -0.37475545303153474, 0.0020500000937317964, -1.2292036732051033]	[-1.4102387475534628, -0.4437169892410793, 0.0020500000937317964, -1.0292036732051033]	Right	0.02
1628	[-1.2431681114725373, -0.5736642107563279, 0.0020500000937317964, -1.2292036732051033]	[-1.1016219843606323, -0.37475545303153474, 0.0020500000937317964, -1.2292036732051033]	Left	0.02
1629	[-0.900203542243877, -0.6427677870299149, 0.0020500000937317964, -1.4292036732051032]	[-1.2431681114725373, -0.5736642107563279, 0.0020500000937317964, -1.2292036732051033]	Right	0.02
1630	[-1.2601302949919386, -0.6752136289243024, 0.0020500000937317964, -1.4292036732051032]	[-1.1016219843606323, -0.37475545303153474, 0.0020500000937317964, -1.2292036732051033]	Left	0.02
1631	[-1.0126321708418273, -0.6399336269093355, 0.0020500000937317964, -1.6292036732051032]	[-1.2601302949919386, -0.6752136289243024, 0.0020500000937317964, -1.4292036732051032]	Right	0.02
1632	[-1.2727132106074799, -0.8050331506954962, 0.0020500000937317964, -1.8292036732051031]	[-1.0126321708418273, -0.6399336269093355, 0.0020500000937317964, -1.6292036732051032]	Left	0.02
1633	[-1.0082278630363246, -0.9783753005614917, 0.0020500000937317964, -1.6292036732051032]	[-1.2727132106074799, -0.8050331506954962, 0.0020500000937317964, -1.8292036732051031]	Right	0.02
1634	[-1.0414482062998127, -1.1040590655968217, 0.0020500000937317964, -1.6292036732051032]	[-1.2727132106074799, -0.8050331506954962, 0.0020500000937317964, -1.8292036732051031]	Right	0.02
1635	[-1.3444390876438934, -1.146444509116233, 0.0020500000937317964, -1.8292036732051031]	[-1.0414482062998127, -1.1040590655968217, 0.0020500000937317964, -1.6292036732051032]	Left	0.02
