i	f_sup	f_swg	f_swg_id	traj_params	h_max
17	[1.468662742007041, 0.11487975983370621, 0.10000000149011612, 3.3415926535897933]	[1.7778613562048673, -0.025819269936025374, 0.0020500000937317964, 3.5415926535897935]	Left	0.152
18	[1.292914761802321, -0.17583083070946828, 0.10000000149011612, 3.141592653589793]	[1.468662742007041, 0.11487975983370621, 0.10000000149011612, 3.3415926535897933]	Right	0.152
19	[1.2329147618023208, 0.07416916929053172, 0.10000000149011612, 3.141592653589793]	[1.292914761802321, -0.17583083070946828, 0.10000000149011612, 3.141592653589793]	Left	0.02
20	[1.0929147618023207, -0.22583083070946827, 0.10000000149011612, 3.141592653589793]	[1.2329147618023208, 0.07416916929053172, 0.10000000149011612, 3.141592653589793]	Right	0.02
21	[0.9529147618023207, 0.024169169290531728, 0.10000000149011612, 2.941592653589793]	[1.0929147618023207, -0.22583083070946827, 0.10000000149011612, 3.141592653589793]	Left	0.02
22	[0.7953073047796781, -0.24998387098233457, 0.10000000149011612, 2.7415926535897928]	[0.9529147618023207, 0.024169169290531728, 0.10000000149011612, 2.941592653589793]	Right	0.02
23	[0.7831842683118695, 0.08085299514174202, 0.10000000149011612, 2.5415926535897926]	[0.7953073047796781, -0.24998387098233457, 0.10000000149011612, 2.7415926535897928]	Left	0.02
24	[0.4239643348641328, -0.036879920450303055, 0.20000000298023224, 2.5415926535897926]	[0.7831842683118695, 0.08085299514174202, 0.10000000149011612, 2.5415926535897926]	Right	0.152
25	[0.3470656381139141, 0.2580549714124908, 0.20000000298023224, 2.5415926535897926]	[0.4239643348641328, -0.036879920450303055, 0.20000000298023224, 2.5415926535897926]	Left	0.152
26	[0.029112485411661337, 0.1120899321506939, 0.20000000298023224, 2.3415926535897924]	[0.3470656381139141, 0.2580549714124908, 0.20000000298023224, 2.5415926535897926]	Right	0.02
27	[0.17464864174680184, 0.3928375540447957, 0.20000000298023224, 2.5415926535897926]	[0.029112485411661337, 0.1120899321506939, 0.20000000298023224, 2.3415926535897924]	Left	0.02
