i	f_sup	f_swg	f_swg_id	traj_params	h_max
37	[-2.298268179185418, 4.179472451611504, 0.30000000074505806, 1.1707963267948969]	[-2.52142221221686, 4.1652500206729455, 0.30000000074505806, 1.1707963267948969]	Left	0.152
38	[-2.5356446431554183, 4.388404053704388, 0.30000000074505806, 1.3707963267948968]	[-2.298268179185418, 4.179472451611504, 0.30000000074505806, 1.1707963267948969]	Right	0.02
39	[-2.2787078388474042, 4.397540715676097, 0.30000000074505806, 1.5707963267948968]	[-2.5356446431554183, 4.388404053704388, 0.30000000074505806, 1.3707963267948968]	Left	0.02
40	[-2.5787078388474045, 4.627540715676097, 0.30000000074505806, 1.5707963267948968]	[-2.2787078388474042, 4.397540715676097, 0.30000000074505806, 1.5707963267948968]	Right	0.02
41	[-2.2787078388474047, 4.627540715676097, 0.30000000074505806, 1.5707963267948968]	[-2.5787078388474045, 4.627540715676097, 0.30000000074505806, 1.5707963267948968]	Left	0.02
42	[-2.5787078388474045, 4.7675407156760965, 0.30000000074505806, 1.3707963267948968]	[-2.2787078388474047, 4.627540715676097, 0.30000000074505806, 1.5707963267948968]	Right	0.02
43	[-2.3058774880757857, 4.855082703875105, 0.30000000074505806, 1.5707963267948968]	[-2.5787078388474045, 4.7675407156760965, 0.30000000074505806, 1.3707963267948968]	Left	0.02
44	[-2.5558774880757857, 4.855082703875105, 0.30000000074505806, 1.3707963267948968]	[-2.3058774880757857, 4.855082703875105, 0.30000000074505806, 1.5707963267948968]	Right	0.02
45	[-2.24993735487571, 4.854285899307062, 0.30000000074505806, 1.5707963267948968]	[-2.5558774880757857, 4.855082703875105, 0.30000000074505806, 1.3707963267948968]	Left	0.02
46	[-2.49993735487571, 4.854285899307062, 0.30000000074505806, 1.5707963267948968]	[-2.24993735487571, 4.854285899307062, 0.30000000074505806, 1.5707963267948968]	Right	0.02
47	[-2.19993735487571, 4.794285899307062, 0.30000000074505806, 1.3707963267948968]	[-2.49993735487571, 4.854285899307062, 0.30000000074505806, 1.5707963267948968]	Left	0.02
48	[-2.395950670443958, 4.834019765466074, 0.30000000074505806, 1.3707963267948968]	[-2.19993735487571, 4.794285899307062, 0.30000000074505806, 1.3707963267948968]	Right	0.02
49	[-2.139013866135944, 4.843156427437783, 0.30000000074505806, 1.3707963267948968]	[-2.395950670443958, 4.834019765466074, 0.30000000074505806, 1.3707963267948968]	Left	0.02
50	[-2.346947341551896, 4.824086298926321, 0.30000000074505806, 1.3707963267948968]	[-2.139013866135944, 4.843156427437783, 0.30000000074505806, 1.3707963267948968]	Right	0.02
51	[-2.090010537243882, 4.833222960898031, 0.30000000074505806, 1.1707963267948969]	[-2.346947341551896, 4.824086298926321, 0.30000000074505806, 1.3707963267948968]	Left	0.02
52	[-2.230709567013614, 5.142421575095857, 0.3999999947845936, 1.3707963267948968]	[-2.090010537243882, 4.833222960898031, 0.30000000074505806, 1.1707963267948969]	Right	0.152
53	[-2.0148293183658597, 5.200694366720969, 0.3999999947845936, 1.5707963267948968]	[-2.230709567013614, 5.142421575095857, 0.3999999947845936, 1.3707963267948968]	Left	0.152
