i	f_sup	f_swg	f_swg_id	traj_h
1994	[-1.556900240623448, 2.5707468345721542, 0.0020500000937317964, 1.3707963267948966]	[-1.306900240623448, 2.430746834572154, 0.0020500000937317964, 1.5707963267948966]	Right	0.02
1995	[-1.7208703979516031, 2.220255809078068, 0.0020500000937317964, 0.9707963267948967]	[-1.4679172002892567, 2.0481666467452997, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
1996	[-1.4168054661391962, 2.1333966285505253, 0.0020500000937317964, 1.1707963267948966]	[-1.7208703979516031, 2.220255809078068, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
1997	[-1.6010176649397732, 2.211280297012255, 0.0020500000937317964, 1.3707963267948966]	[-1.4168054661391962, 2.1333966285505253, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
1998	[-1.499339027630164, 2.189860875890029, 0.0020500000937317964, 1.1707963267948966]	[-1.7208703979516031, 2.220255809078068, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
1999	[-1.5939850076997513, 2.4795885729724225, 0.0020500000937317964, 1.1707963267948966]	[-1.499339027630164, 2.189860875890029, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
2000	[-1.6761674884764675, 1.9875336317666532, 0.0020500000937317964, 0.9707963267948967]	[-1.438791024506467, 1.7786020296737697, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
2001	[-1.7678586486666181, 1.7553073394520284, 0.0020500000937317964, 0.9707963267948967]	[-1.5460589183889637, 1.5095332975990294, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
2002	[-1.463793716854211, 1.6684481589244857, 0.0020500000937317964, 0.7707963267948967]	[-1.7678586486666181, 1.7553073394520284, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
2003	[-1.5276461965354964, 1.6636668579978504, 0.0020500000937317964, 0.7707963267948967]	[-1.7678586486666181, 1.7553073394520284, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
2004	[-1.5019956374980392, 1.9673806193276029, 0.0020500000937317964, 0.9707963267948967]	[-1.5276461965354964, 1.6636668579978504, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
2005	[-1.2956617337706196, 1.826220000978844, 0.0020500000937317964, 0.9707963267948967]	[-1.5019956374980392, 1.9673806193276029, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
2006	[-1.2166117874953146, 1.941766987066199, 0.0020500000937317964, 0.7707963267948967]	[-1.5019956374980392, 1.9673806193276029, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
2007	[-1.2391974864311162, 1.908753562469812, 0.0020500000937317964, 0.9707963267948967]	[-1.5019956374980392, 1.9673806193276029, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
2008	[-1.3703860610093497, 2.0712021940433996, 0.0020500000937317964, 1.1707963267948966]	[-1.2391974864311162, 1.908753562469812, 0.0020500000937317964, 0.9707963267948967]	Right	0.02
