i	f_sup	f_swg	f_swg_id	traj_h
414	[1.0113912433535317, 0.728338825964443, 0.10000000149011612, 2.5415926535897926]	[1.2745368078512138, 0.888508772849607, 0.10000000149011612, 2.7415926535897928]	Right	0.02
415	[1.1024476455184455, 0.6355555751872606, 0.10000000149011612, 2.5415926535897926]	[1.2745368078512138, 0.888508772849607, 0.10000000149011612, 2.7415926535897928]	Right	0.02
416	[1.1940881269726238, 0.8757680273183822, 0.10000000149011612, 2.3415926535897924]	[1.1024476455184455, 0.6355555751872606, 0.10000000149011612, 2.5415926535897926]	Left	0.02
417	[0.9252097011102294, 0.8655507818108634, 0.10000000149011612, 2.5415926535897926]	[1.1940881269726238, 0.8757680273183822, 0.10000000149011612, 2.3415926535897924]	Right	0.02
418	[0.9729467016869131, 0.7446327154355624, 0.10000000149011612, 2.1415926535897922]	[1.1940881269726238, 0.8757680273183822, 0.10000000149011612, 2.3415926535897924]	Right	0.02
419	[1.1833144478888873, 0.8797082919025971, 0.10000000149011612, 2.3415926535897924]	[0.9729467016869131, 0.7446327154355624, 0.10000000149011612, 2.1415926535897922]	Left	0.02
420	[1.0398432297089826, 0.7403669500331642, 0.10000000149011612, 2.3415926535897924]	[1.1833144478888873, 0.8797082919025971, 0.10000000149011612, 2.3415926535897924]	Right	0.02
421	[0.9263052180582004, 0.7137376445524191, 0.10000000149011612, 2.5415926535897926]	[1.1833144478888873, 0.8797082919025971, 0.10000000149011612, 2.3415926535897924]	Right	0.02
422	[0.8796006865591347, 0.9053588509400545, 0.10000000149011612, 2.3415926535897924]	[1.1833144478888873, 0.8797082919025971, 0.10000000149011612, 2.3415926535897924]	Right	0.02
423	[0.9621730226031766, 0.7485729800197773, 0.10000000149011612, 2.3415926535897924]	[1.1833144478888873, 0.8797082919025971, 0.10000000149011612, 2.3415926535897924]	Right	0.02
424	[1.2578061354813705, 0.8562351481075303, 0.10000000149011612, 1.9415926535897923]	[0.9729467016869131, 0.7446327154355624, 0.10000000149011612, 2.1415926535897922]	Left	0.02
425	[1.0247963639895639, 0.7656457094883622, 0.10000000149011612, 1.7415926535897923]	[1.2578061354813705, 0.8562351481075303, 0.10000000149011612, 1.9415926535897923]	Right	0.02
426	[1.254162082196655, 0.9066824682122683, 0.10000000149011612, 1.9415926535897923]	[1.0247963639895639, 0.7656457094883622, 0.10000000149011612, 1.7415926535897923]	Left	0.02
427	[0.9962918216750873, 0.7420527967112329, 0.10000000149011612, 1.7415926535897923]	[1.254162082196655, 0.9066824682122683, 0.10000000149011612, 1.9415926535897923]	Right	0.02
428	[1.0677542650032097, 0.8342109173169338, 0.10000000149011612, 1.7415926535897923]	[1.254162082196655, 0.9066824682122683, 0.10000000149011612, 1.9415926535897923]	Right	0.02
429	[1.2750422395749161, 0.8090773620976741, 0.10000000149011612, 1.7415926535897923]	[1.0677542650032097, 0.8342109173169338, 0.10000000149011612, 1.7415926535897923]	Left	0.02
430	[1.0184817785037867, 0.8257125601719217, 0.10000000149011612, 1.7415926535897923]	[1.2750422395749161, 0.8090773620976741, 0.10000000149011612, 1.7415926535897923]	Right	0.02
431	[0.9488132348563348, 0.935468170625525, 0.10000000149011612, 1.9415926535897923]	[1.2750422395749161, 0.8090773620976741, 0.10000000149011612, 1.7415926535897923]	Right	0.02
432	[0.9559279148990473, 0.9838600650672009, 0.10000000149011612, 1.9415926535897923]	[1.254162082196655, 0.9066824682122683, 0.10000000149011612, 1.9415926535897923]	Right	0.02
433	[0.8948521261615678, 0.9618968115369907, 0.10000000149011612, 2.1415926535897922]	[1.2578061354813705, 0.8562351481075303, 0.10000000149011612, 1.9415926535897923]	Right	0.02
434	[1.0931397835565255, 0.7278412520541622, 0.10000000149011612, 1.9415926535897923]	[1.2578061354813705, 0.8562351481075303, 0.10000000149011612, 1.9415926535897923]	Right	0.02
435	[1.2795476007499709, 0.8003128029494967, 0.10000000149011612, 1.9415926535897923]	[1.0931397835565255, 0.7278412520541622, 0.10000000149011612, 1.9415926535897923]	Left	0.02
436	[1.3012890660185712, 0.7443904577914631, 0.10000000149011612, 2.1415926535897922]	[1.0931397835565255, 0.7278412520541622, 0.10000000149011612, 1.9415926535897923]	Left	0.02
437	[1.0812659089282906, 0.5318115069425475, 0.10000000149011612, 2.3415926535897924]	[1.3012890660185712, 0.7443904577914631, 0.10000000149011612, 2.1415926535897922]	Right	0.02
438	[1.2531273227850372, 0.932057508011207, 0.10000000149011612, 2.7415926535897928]	[1.2887592387897722, 0.665354739818165, 0.10000000149011612, 2.5415926535897926]	Left	0.02
439	[1.119979994683134, 0.7712104097491491, 0.10000000149011612, 2.5415926535897926]	[1.2531273227850372, 0.932057508011207, 0.10000000149011612, 2.7415926535897928]	Right	0.02
440	[1.9546257205727184, 0.6599321156377982, 0.0020500000937317964, 2.7415926535897928]	[1.7825365582399502, 0.4069789179754518, 0.0020500000937317964, 2.7415926535897928]	Left	0.02
441	[1.7825365582399502, 0.4069789179754518, 0.0020500000937317964, 2.3415926535897924]	[1.8459449160243766, 0.6059245893610896, 0.0020500000937317964, 2.5415926535897926]	Right	0.02
442	[2.003677983525661, 0.5381142298582716, 0.0020500000937317964, 2.1415926535897922]	[1.7825365582399502, 0.4069789179754518, 0.0020500000937317964, 2.3415926535897924]	Left	0.02
443	[1.9977433855098072, 0.6159909307796012, 0.0020500000937317964, 2.5415926535897926]	[1.7825365582399502, 0.4069789179754518, 0.0020500000937317964, 2.3415926535897924]	Left	0.02
444	[1.8283506434912964, 0.36839024630669787, 0.0020500000937317964, 2.3415926535897924]	[1.9977433855098072, 0.6159909307796012, 0.0020500000937317964, 2.5415926535897926]	Right	0.02
445	[1.884205373859025, 0.5893616252988562, 0.0020500000937317964, 2.3415926535897924]	[1.7825365582399502, 0.4069789179754518, 0.0020500000937317964, 2.3415926535897924]	Left	0.02
446	[1.8723361778273175, 0.7451150271415155, 0.0020500000937317964, 2.3415926535897924]	[1.7825365582399502, 0.4069789179754518, 0.0020500000937317964, 2.3415926535897924]	Left	0.02
447	[1.7706673622082427, 0.5627323198181111, 0.0020500000937317964, 2.5415926535897926]	[1.8723361778273175, 0.7451150271415155, 0.0020500000937317964, 2.3415926535897924]	Right	0.02
448	[1.9895802411213341, 0.7764544558873123, 0.0020500000937317964, 2.3415926535897924]	[1.7706673622082427, 0.5627323198181111, 0.0020500000937317964, 2.5415926535897926]	Left	0.02
449	[1.9400601042267536, 0.8103330042910144, 0.0020500000937317964, 2.3415926535897924]	[1.7706673622082427, 0.5627323198181111, 0.0020500000937317964, 2.5415926535897926]	Left	0.02
450	[1.7965888860468489, 0.6709916624215815, 0.0020500000937317964, 2.1415926535897922]	[1.9400601042267536, 0.8103330042910144, 0.0020500000937317964, 2.3415926535897924]	Right	0.02
451	[2.0814483198413063, 0.7825940950935493, 0.0020500000937317964, 1.9415926535897923]	[1.7965888860468489, 0.6709916624215815, 0.0020500000937317964, 2.1415926535897922]	Left	0.02
452	[1.9648830830084283, 0.7790521235952093, 0.0020500000937317964, 2.3415926535897924]	[1.7965888860468489, 0.6709916624215815, 0.0020500000937317964, 2.1415926535897922]	Left	0.02
453	[1.9108528524216144, 0.863199222075999, 0.0020500000937317964, 2.1415926535897922]	[1.7965888860468489, 0.6709916624215815, 0.0020500000937317964, 2.1415926535897922]	Left	0.02
454	[1.8245131181393985, 0.8893829505663196, 0.0020500000937317964, 2.7415926535897928]	[1.7706673622082427, 0.5627323198181111, 0.0020500000937317964, 2.5415926535897926]	Left	0.02
455	[1.9613481174515823, 0.7351876751418285, 0.0020500000937317964, 2.5415926535897926]	[1.7706673622082427, 0.5627323198181111, 0.0020500000937317964, 2.5415926535897926]	Left	0.02
456	[1.9895802411213341, 0.7764544558873123, 0.0020500000937317964, 2.7415926535897928]	[1.7706673622082427, 0.5627323198181111, 0.0020500000937317964, 2.5415926535897926]	Left	0.02
457	[1.9118279805570018, 0.7690662235455306, 0.0020500000937317964, 2.5415926535897926]	[1.7706673622082427, 0.5627323198181111, 0.0020500000937317964, 2.5415926535897926]	Left	0.02
458	[1.8292944190660338, 0.8255304708850342, 0.0020500000937317964, 2.5415926535897926]	[1.7706673622082427, 0.5627323198181111, 0.0020500000937317964, 2.5415926535897926]	Left	0.02
459	[1.7658860612816074, 0.6265847994993964, 0.0020500000937317964, 2.3415926535897924]	[1.8292944190660338, 0.8255304708850342, 0.0020500000937317964, 2.5415926535897926]	Right	0.02
