NR	swg_id	pos_x	pos:y	pos_z	orientation	trajectory_params
19	Right	-2.0917183432274657	2.7061860310597012	0.10000000149011612	1.1707963267948966	[-45.57412183771102, 6.614465735356301]
20	Left	-2.2759305420280427	2.784069699521431	0.10000000149011612	1.1707963267948966	[-96.00000000000038, 9.60000000000002]
21	Right	-2.022977344365696	2.611980537188663	0.10000000149011612	1.3707963267948966	[-70.58823529411724, 8.2319320868404]
22	Left	-2.28918361140676	2.808790657324955	0.10000000149011612	1.1707963267948966	[-1220.1793215308078, 34.22531444223085]
23	Right	-2.0362304137444136	2.6367014949921868	0.10000000149011612	1.3707963267948966	[-1220.1793215307898, 34.2253144422306]
24	Left	-2.3421705469444896	2.6374982995602307	0.10000000149011612	1.5707963267948966	[-29.861250477655158, 5.354138628999902]
25	Right	-2.1421705469444894	2.6374982995602307	0.10000000149011612	1.3707963267948966	[-85.53141100464995, 9.061465365185917]
26	Left	-2.310370156201429	2.814441486617017	0.10000000149011612	1.5707963267948966	[-29.702826656269938, 5.339917002165777]
27	Right	-2.010370156201429	2.814441486617017	0.10000000149011612	1.3707963267948966	[-19.72052951117438, 4.351058300083717]
28	Left	-2.2063834717696773	2.854175352776029	0.10000000149011612	1.3707963267948966	[-77.46926841923162, 8.62383312004948]
29	Right	-1.961366827309367	2.8045080200772636	0.10000000149011612	1.5707963267948966	[-383.99999999999824, 19.199999999999957]
30	Left	-2.161366827309367	2.8645080200772637	0.10000000149011612	1.5707963267948966	[-450.0149857752231, 20.78495576959966]
31	Right	-1.961366827309367	2.8645080200772637	0.10000000149011612	1.5707963267948966	[-266.6666666666662, 15.999999999999986]
32	Left	-2.161366827309367	2.8645080200772637	0.10000000149011612	1.7707963267948965	[0, 0]
33	Right	-1.9620441289319206	3.1395906656795147	0.20000000670552254	1.5707963267948966	[-10.04348808037152, 3.12632367673392]
34	Left	-2.212044128931921	3.319590665679515	0.20000000670552254	1.3707963267948966	[-3.6247711999905974, 1.878157265916539]
35	Right	-2.027950973211376	3.221052804850028	0.20000000670552254	1.5707963267948966	[-87.43334836568185, 9.16166002594806]
36	Left	-2.277950973211376	3.4010528048500284	0.20000000670552254	1.7707963267948965	[-87.4333483656821, 9.161660025948072]
37	Right	-2.070017497795424	3.3819826763385663	0.20000000670552254	1.7707963267948965	[-34.69710293040277, 5.771413935352988]
38	Left	-2.391851177459105	3.4595911979978218	0.20000000670552254	1.7707963267948965	[-58.536585365853554, 7.496340570653085]
39	Right	-2.166701466078301	3.6072651884807114	0.20000000670552254	1.5707963267948966	[-15.973377703826916, 3.9159216789504154]
40	Left	-2.3667014660783012	3.7872651884807116	0.20000000670552254	1.5707963267948966	[-8.888662390831742, 2.921149755695259]
41	Right	-2.166701466078301	3.8472651884807116	0.20000000670552254	1.7707963267948965	[-16.666666666666636, 3.9999999999999964]
