NR	swg_id	pos_x	pos:y	pos_z	orientation	trajectory_params
53	Right	-0.17256682729538886	1.5717360621259275	0.3999999947845936	-0.6	[-5.463394521317635, 2.305806908825004]
54	Left	-0.031406208946630015	1.7780699658533472	0.3999999947845936	-0.8	[-27.507163323782233, 5.138762184693016]
55	Right	-0.049470219444044825	1.509604527622	0.3999999947845936	-0.8	[-50.49149673554597, 6.962171849798318]
56	Left	0.2901113464306839	1.5187893040519012	0.4999999888241291	-0.6000000000000001	[-4.454865251588093, 2.08213526978069]
57	Right	0.29751113876566715	1.2108197551133753	0.4999999888241291	-0.4000000000000001	[-3.624771306595802, 1.8781572903235677]
58	Left	0.43065846686757037	1.3716668533754333	0.4999999888241291	-0.20000000000000007	[-23.18924119447238, 4.7182275853008075]
59	Right	0.48893125849268226	1.1557866047276788	0.4999999888241291	-5.551115123125783e-17	[-24.199458057173995, 4.819904535868634]
60	Left	0.42893125849268227	1.3557866047276788	0.4999999888241291	-5.551115123125783e-17	[-3762.2634226387354, 60.09802730317515]
61	Right	0.42893125849268227	1.1557866047276788	0.4999999888241291	0.19999999999999996	[-266.6666666666667, 16.0]
62	Left	0.3693304592541639	1.4498065780800513	0.4999999888241291	0.39999999999999997	[-77.46926841923143, 8.62383312004947]
63	Right	0.447214127715894	1.2655943792794742	0.4999999888241291	0.19999999999999996	[-77.46926841923164, 8.62383312004948]
64	Left	0.39754679501712875	1.5106110237397845	0.4999999888241291	0.39999999999999997	[-213.64942928409528, 14.321433312093154]
65	Right	0.43963772095411824	1.2569806747005443	0.4999999888241291	0.6	[-7294.952229319651, 83.6848501232264]
66	Left	0.3810106640963272	1.5197788257674674	0.4999999888241291	0.6	[-2685.373126179825, 50.77359748070479]
67	Right	0.47265114555050536	1.2795663736363456	0.4999999888241291	0.6	[-600.000000000002, 24.00000000000004]
68	Left	0.30325840353199474	1.5271670581092491	0.4999999888241291	0.8	[-157.37704918032776, 12.29154047355801]
69	Right	0.4049272191510694	1.3447843507858446	0.4999999888241291	0.6000000000000001	[-108.59833234855964, 10.210504348689993]
70	Left	0.3840948878163008	1.6940206804698543	0.4999999888241291	0.8	[-27.927542061461416, 5.177879911605034]
71	Right	0.48576370343537545	1.51163797314645	0.4999999888241291	1.0	[-27.927542061461356, 5.177879911605029]
72	Left	0.32942618782021527	1.7308606480942745	0.4999999888241291	1.0	[-220.90040056165995, 14.562430584871247]
73	Right	0.4653022464297062	1.5723119278321729	0.4999999888241291	1.2	[-234.14634146341422, 14.99268114130617]
74	Left	0.2571529639676605	1.588861133569474	0.4999999888241291	1.4	[-37.81421096540127, 6.0250844414651334]
75	Right	0.5205121107547996	1.6449143208432597	0.4999999888241291	1.4	[-115.39520359174917, 10.525179117149465]
76	Left	0.26396963462531703	1.922557901610678	0.4999999888241291	1.5999999999999999	[-8.61759425493716, 2.8762632850175023]
