i	f_sup	f_swg	f_swg_id	traj_params	h_max
59	[-1.2365953775529068, 0.3402690716846556, 0.10000000149011612, 3.141592653589793]	[-1.1968615113938945, 0.14425575611640729, 0.10000000149011612, 3.3415926535897933]	Left	[-77.46926841923143, 8.62383312004947]	0.24
60	[-1.2365953775529068, 0.0402690716846556, 0.10000000149011612, 3.141592653589793]	[-1.2365953775529068, 0.3402690716846556, 0.10000000149011612, 3.141592653589793]	Right	[-77.46926841923143, 8.62383312004947]	0.24
61	[-1.2965953775529069, 0.3402690716846556, 0.10000000149011612, 2.941592653589793]	[-1.2365953775529068, 0.0402690716846556, 0.10000000149011612, 3.141592653589793]	Left	[-266.6666666666662, 15.999999999999986]	0.24
62	[-1.2775252490414446, 0.13233559626870356, 0.10000000149011612, 2.941592653589793]	[-1.2965953775529069, 0.3402690716846556, 0.10000000149011612, 2.941592653589793]	Right	[-94.56731157460703, 9.5280963005011]	0.24
63	[-1.2866619110131536, 0.38927240057671764, 0.10000000149011612, 2.7415926535897928]	[-1.2775252490414446, 0.13233559626870356, 0.10000000149011612, 2.941592653589793]	Left	[-383.9999999999999, 19.2]	0.24
64	[-1.5958605252109799, 0.24857337080698613, 0.0020500000937317964, 2.941592653589793]	[-1.2866619110131536, 0.38927240057671764, 0.10000000149011612, 2.7415926535897928]	Right	[-10.064557356422542, 3.1217804078456295]	0.24
65	[-1.6933359799497414, 0.4724003926865431, 0.0020500000937317964, 3.141592653589793]	[-1.5958605252109799, 0.24857337080698613, 0.0020500000937317964, 2.941592653589793]	Left	[-6.7088789554434705, 2.5487661413802143]	0.24
66	[-1.8333359799497415, 0.1724003926865431, 0.0020500000937317964, 3.3415926535897933]	[-1.6933359799497414, 0.4724003926865431, 0.0020500000937317964, 3.141592653589793]	Right	[-15.434849338773082, 3.849344796874159]	0.24
67	[-2.030146100086034, 0.438606659727607, 0.0020500000937317964, 3.3415926535897933]	[-1.8333359799497415, 0.1724003926865431, 0.0020500000937317964, 3.3415926535897933]	Left	[-8.378200823217714, 2.836031168779533]	0.24
68	[-1.9804787673872686, 0.19359001526729658, 0.0020500000937317964, 3.3415926535897933]	[-2.030146100086034, 0.438606659727607, 0.0020500000937317964, 3.3415926535897933]	Right	[-43.438914027149224, 6.457658822364592]	0.24
69	[-2.0202126335462807, 0.3896033308355449, 0.0020500000937317964, 3.141592653589793]	[-1.9804787673872686, 0.19359001526729658, 0.0020500000937317964, 3.3415926535897933]	Left	[-383.9999999999991, 19.199999999999978]	0.24
70	[-2.1202126335462808, 0.18960333083554487, 0.0020500000937317964, 3.3415926535897933]	[-2.0202126335462807, 0.3896033308355449, 0.0020500000937317964, 3.141592653589793]	Right	[-49.126351788523095, 6.867408369755083]	0.24
71	[-2.1210094381143247, 0.495543464035621, 0.0020500000937317964, 3.141592653589793]	[-2.1202126335462808, 0.18960333083554487, 0.0020500000937317964, 3.3415926535897933]	Left	[-44.894831821645134, 6.564985799587028]	0.24
72	[-2.181009438114325, 0.245543464035621, 0.0020500000937317964, 3.141592653589793]	[-2.1210094381143247, 0.495543464035621, 0.0020500000937317964, 3.141592653589793]	Right	[-140.64800745666003, 11.619900479711244]	0.24
73	[-2.281009438114325, 0.495543464035621, 0.0020500000937317964, 3.141592653589793]	[-2.181009438114325, 0.245543464035621, 0.0020500000937317964, 3.141592653589793]	Left	[-37.49999999999993, 5.999999999999995]	0.24
74	[-2.511009438114325, 0.19554346403562106, 0.0020500000937317964, 3.3415926535897933]	[-2.281009438114325, 0.495543464035621, 0.0020500000937317964, 3.141592653589793]	Right	[-8.61759425493716, 2.8762632850175023]	0.24
75	[-2.7960255502563287, 0.4438694913051294, 0.0020500000937317964, 3.3415926535897933]	[-2.511009438114325, 0.19554346403562106, 0.0020500000937317964, 3.3415926535897933]	Left	[-3.583268885935841, 1.8547070201243125]	0.24
76	[-2.8344314088019344, 0.12998258487325082, 0.0020500000937317964, 3.3415926535897933]	[-2.7960255502563287, 0.4438694913051294, 0.0020500000937317964, 3.3415926535897933]	Right	[-8.815426997245186, 2.9090909090909105]	0.24
77	[-3.0312415289382266, 0.3961888519143147, 0.0020500000937317964, 3.141592653589793]	[-2.8344314088019344, 0.12998258487325082, 0.0020500000937317964, 3.3415926535897933]	Left	[-16.666666666666675, 4.000000000000001]	0.24
78	[-3.1712415289382268, 0.1961888519143147, 0.0020500000937317964, 2.941592653589793]	[-3.0312415289382266, 0.3961888519143147, 0.0020500000937317964, 3.141592653589793]	Right	[-8.147723190071293, 2.796750661476357]	0.24
