i	f_sup	f_swg	f_swg_id	traj_params	h_max
79	[-2.826554936852646, 1.862383665540613, 0.0020500000937317964, 1.7707963267948967]	[-2.52061480365257, 1.863180470108657, 0.0020500000937317964, 1.7707963267948967]	Right	[-257.2666693838072, 15.715470168227705]	0.24
80	[-2.5782289095831374, 2.147399777682617, 0.10000000149011612, 1.9707963267948967]	[-2.826554936852646, 1.862383665540613, 0.0020500000937317964, 1.7707963267948967]	Left	[-9.085612333022965, 2.9725862020814335]	0.24
81	[-2.6127209030528586, 1.8242386358777918, 0.0020500000937317964, 1.9707963267948967]	[-2.8202982023919545, 1.8016186270562349, 0.0020500000937317964, 1.9707963267948967]	Left	[-486.7816769326594, 21.61736361944613]	0.24
82	[-2.881927985784445, 1.8189901497009175, 0.0020500000937317964, 1.9707963267948967]	[-2.6127209030528586, 1.8242386358777918, 0.0020500000937317964, 1.9707963267948967]	Right	[-234.1463414634143, 14.992681141306171]	0.24
83	[-2.8656741007152053, 1.6521494735450235, 0.0020500000937317964, 2.1707963267948966]	[-2.6127209030528586, 1.8242386358777918, 0.0020500000937317964, 1.9707963267948967]	Right	[-39.344262295081855, 6.145770236778998]	0.24
84	[-2.84298615155358, 1.726884050300629, 0.0020500000937317964, 2.1707963267948966]	[-2.6127209030528586, 1.8242386358777918, 0.0020500000937317964, 1.9707963267948967]	Right	[-157.3770491803267, 12.291540473557967]	0.24
85	[-2.7969331018534356, 1.7463549674160617, 0.0020500000937317964, 1.7707963267948967]	[-2.6127209030528586, 1.8242386358777918, 0.0020500000937317964, 1.9707963267948967]	Right	[-266.6666666666661, 15.999999999999984]	0.24
86	[-2.502913128501063, 1.80595576665458, 0.0020500000937317964, 1.7707963267948967]	[-2.7969331018534356, 1.7463549674160617, 0.0020500000937317964, 1.7707963267948967]	Left	[-77.46926841923135, 8.623833120049465]	0.24
87	[-2.7825150368621334, 1.6578395172991283, 0.0020500000937317964, 2.1707963267948966]	[-2.576181133134714, 1.799000135647887, 0.0020500000937317964, 2.1707963267948966]	Right	[-174.86296359898654, 12.956405560765187]	0.24
88	[-2.5835693654764955, 1.7212478750835547, 0.0020500000937317964, 2.1707963267948966]	[-2.7825150368621334, 1.6578395172991283, 0.0020500000937317964, 2.1707963267948966]	Left	[-157.37704918032833, 12.291540473558031]	0.24
89	[-2.501035803985528, 1.777712122423058, 0.0020500000937317964, 2.370796326794897]	[-2.7825150368621334, 1.6578395172991283, 0.0020500000937317964, 2.1707963267948966]	Left	[-157.3770491803274, 12.291540473557994]	0.24
90	[-2.542302584731012, 1.7494799987533065, 0.0020500000937317964, 2.1707963267948966]	[-2.7825150368621334, 1.6578395172991283, 0.0020500000937317964, 2.1707963267948966]	Left	[-266.6666666666679, 16.000000000000036]	0.24
91	[-2.8615649831374386, 1.7733865033864833, 0.0020500000937317964, 2.370796326794897]	[-2.576181133134714, 1.799000135647887, 0.0020500000937317964, 2.1707963267948966]	Right	[-114.26137202902491, 10.473343169583622]	0.24
92	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	[-2.8615649831374386, 1.7733865033864833, 0.0020500000937317964, 2.370796326794897]	Left	[-58.55934385205682, 7.497797683185013]	0.24
93	[-2.8142578522810693, 1.6646875728035837, 0.0020500000937317964, 2.770796326794897]	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	Right	[-68.31076377376955, 8.098045024746328]	0.24
94	[-2.736754477899188, 1.6743429836918902, 0.0020500000937317964, 2.370796326794897]	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	Right	[-37.814210965401166, 6.0250844414651255]	0.24
95	[-2.7637695931925954, 1.6322694344514954, 0.0020500000937317964, 2.770796326794897]	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	Right	[-32.566698063945566, 5.591424696925439]	0.24
96	[-2.736754477899188, 1.6743429836918902, 0.0020500000937317964, 2.770796326794897]	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	Right	[-37.814210965401166, 6.0250844414651255]	0.24
97	[-2.837730996076136, 1.739179260396067, 0.0020500000937317964, 2.770796326794897]	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	Right	[-552.2972535395471, 23.026188642455903]	0.24
98	[-2.7907847084860022, 1.5901958852111004, 0.0020500000937317964, 2.370796326794897]	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	Right	[-24.890682025562, 4.888256820640618]	0.24
99	[-2.841272967574476, 1.622614023563189, 0.0020500000937317964, 2.370796326794897]	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	Right	[-41.479242121227124, 6.310314765237788]	0.24
100	[-2.6240549247837133, 1.7601506437272398, 0.0020500000937317964, 2.1707963267948966]	[-2.841272967574476, 1.622614023563189, 0.0020500000937317964, 2.370796326794897]	Left	[-59.105623922467736, 7.532688694322169]	0.24
101	[-2.7637695931925954, 1.6322694344514954, 0.0020500000937317964, 2.370796326794897]	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	Right	[-32.566698063945566, 5.591424696925439]	0.24
102	[-2.841272967574476, 1.622614023563189, 0.0020500000937317964, 2.570796326794897]	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	Right	[-41.479242121227124, 6.310314765237788]	0.24
103	[-2.756685650195915, 1.8653999081172514, 0.0020500000937317964, 2.570796326794897]	[-2.841272967574476, 1.622614023563189, 0.0020500000937317964, 2.570796326794897]	Left	[-157.3770491803281, 12.291540473558022]	0.24
104	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	[-2.841272967574476, 1.622614023563189, 0.0020500000937317964, 2.570796326794897]	Left	[0]	0
105	[-2.783700765489322, 1.8233263588768567, 0.0020500000937317964, 2.770796326794897]	[-2.841272967574476, 1.622614023563189, 0.0020500000937317964, 2.570796326794897]	Left	[-70.58823529411744, 8.231932086840411]	0.24
106	[-2.8561723163846566, 1.6369185416834113, 0.0020500000937317964, 2.570796326794897]	[-2.783700765489322, 1.8233263588768567, 0.0020500000937317964, 2.770796326794897]	Right	[-2250.299745450591, 46.47889580909348]	0.24
107	[-2.643593365535741, 1.856941698773692, 0.0020500000937317964, 2.770796326794897]	[-2.8561723163846566, 1.6369185416834113, 0.0020500000937317964, 2.570796326794897]	Left	[-46.24260840018151, 6.662800016822826]	0.24
108	[-2.7986001142995027, 1.837630876997079, 0.0020500000937317964, 2.370796326794897]	[-2.8561723163846566, 1.6369185416834113, 0.0020500000937317964, 2.570796326794897]	Left	[-2250.299745450591, 46.47889580909348]	0.24
109	[-2.706197391107441, 1.8329817697651631, 0.0020500000937317964, 2.770796326794897]	[-2.841272967574476, 1.622614023563189, 0.0020500000937317964, 2.570796326794897]	Left	[-384.00000000000233, 19.200000000000056]	0.24
110	[-2.736754477899188, 1.6743429836918902, 0.0020500000937317964, 2.570796326794897]	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	Right	[-37.814210965401166, 6.0250844414651255]	0.24
111	[-2.6791822758140342, 1.8750553190055579, 0.0020500000937317964, 2.570796326794897]	[-2.736754477899188, 1.6743429836918902, 0.0020500000937317964, 2.570796326794897]	Left	[0]	0
112	[-2.7638984432002056, 1.464115317856314, 0.0020500000937317964, 2.370796326794897]	[-2.516297758727302, 1.6335080598748246, 0.0020500000937317964, 2.1707963267948966]	Right	[-266.6666666666662, 15.999999999999986]	0.24
113	[-2.5979277958500275, 1.7211245476870007, 0.0020500000937317964, 2.370796326794897]	[-2.7638984432002056, 1.464115317856314, 0.0020500000937317964, 2.370796326794897]	Left	[-66.94508431189652, 8.016687653851848]	0.24
114	[-2.8151458386407904, 1.5835879275229499, 0.0020500000937317964, 2.570796326794897]	[-2.5979277958500275, 1.7211245476870007, 0.0020500000937317964, 2.370796326794897]	Right	[-56.80473372781064, 7.384615384615384]	0.24
115	[-2.6800702621737553, 1.793955673724924, 0.0020500000937317964, 2.770796326794897]	[-2.8151458386407904, 1.5835879275229499, 0.0020500000937317964, 2.570796326794897]	Left	[-79.65643057212347, 8.744722599902099]	0.24
116	[-2.8457457216658124, 1.6437836319791461, 0.0020500000937317964, 2.770796326794897]	[-2.6800702621737553, 1.793955673724924, 0.0020500000937317964, 2.770796326794897]	Right	[-210.53205573716073, 14.216566867836773]	0.24
117	[-2.773274170770478, 1.8301914491725915, 0.0020500000937317964, 2.770796326794897]	[-2.8457457216658124, 1.6437836319791461, 0.0020500000937317964, 2.770796326794897]	Left	[-95.99999999999987, 9.599999999999994]	0.24
118	[-2.773274170770478, 1.8301914491725915, 0.0020500000937317964, 2.570796326794897]	[-2.8457457216658124, 1.6437836319791461, 0.0020500000937317964, 2.770796326794897]	Left	[-95.99999999999987, 9.599999999999994]	0.24
119	[-2.857861488149039, 1.587405564618529, 0.0020500000937317964, 2.570796326794897]	[-2.773274170770478, 1.8301914491725915, 0.0020500000937317964, 2.570796326794897]	Right	[-288.6976427505068, 16.647814782742103]	0.24
120	[-2.6957707963885973, 1.839846860060898, 0.0020500000937317964, 2.570796326794897]	[-2.857861488149039, 1.587405564618529, 0.0020500000937317964, 2.570796326794897]	Left	[-157.3770491803281, 12.291540473558022]	0.24
121	[-2.773274170770478, 1.8301914491725915, 0.0020500000937317964, 2.9707963267948974]	[-2.8457457216658124, 1.6437836319791461, 0.0020500000937317964, 2.770796326794897]	Left	[-95.99999999999987, 9.599999999999994]	0.24
