i	f_sup	f_swg	f_swg_id	traj_params	h_max
79	[-1.9600986327564778, 8.322478298138753, 0.7000000365078449, 0.9707963267948969]	[-2.1691106455606275, 8.53768512540861, 0.7000000365078449, 0.770796326794897]	Left	[0]	0
80	[-2.1251657557384136, 8.43540679281776, 0.7000000365078449, 0.9707963267948969]	[-1.9600986327564778, 8.322478298138753, 0.7000000365078449, 0.9707963267948969]	Right	[-77.46926841923228, 8.623833120049516]	0.24
81	[-1.99397718116018, 8.272958161244173, 0.7000000365078449, 1.1707963267948969]	[-2.1251657557384136, 8.43540679281776, 0.7000000365078449, 0.9707963267948969]	Left	[-266.66666666666833, 16.00000000000005]	0.24
82	[-2.2008773291223824, 8.425576406461508, 0.7000000365078449, 1.1707963267948969]	[-1.99397718116018, 8.272958161244173, 0.7000000365078449, 1.1707963267948969]	Right	[-164.69719586225318, 12.574152378103387]	0.24
83	[-1.9011939303829979, 8.364014563409086, 0.7000000365078449, 1.3707963267948968]	[-2.2008773291223824, 8.425576406461508, 0.7000000365078449, 1.1707963267948969]	Left	[-56.80473372781118, 7.384615384615419]	0.24
84	[-2.159453424192259, 8.600027346659028, 0.7000000365078449, 1.3707963267948968]	[-1.9011939303829979, 8.364014563409086, 0.7000000365078449, 1.3707963267948968]	Right	[-29.86089448300733, 5.354106713886737]	0.24
85	[-1.9276796290808997, 8.73670546451144, 0.7000000365078449, 1.3707963267948968]	[-2.159453424192259, 8.600027346659028, 0.7000000365078449, 1.3707963267948968]	Left	[-6.876790830945525, 2.569381092346502]	0.24
86	[-2.123692944649148, 8.776439330670453, 0.7000000365078449, 1.5707963267948968]	[-1.9276796290808997, 8.73670546451144, 0.7000000365078449, 1.3707963267948968]	Right	[-29.62962962962909, 5.333333333333285]	0.24
87	[-1.923692944649148, 8.836439330670453, 0.7000000365078449, 1.7707963267948967]	[-2.123692944649148, 8.776439330670453, 0.7000000365078449, 1.5707963267948968]	Left	[-96.35905589129989, 9.617936039278277]	0.24
88	[-2.2375798510810267, 8.874845189216058, 0.7000000365078449, 1.5707963267948968]	[-1.923692944649148, 8.836439330670453, 0.7000000365078449, 1.7707963267948967]	Right	[-42.37673361963305, 6.378217954479741]	0.24
89	[-2.0375798510810266, 8.814845189216058, 0.7000000365078449, 1.7707963267948967]	[-2.2375798510810267, 8.874845189216058, 0.7000000365078449, 1.5707963267948968]	Left	[-71.44699453700778, 8.281854548078435]	0.24
90	[-2.2945166553890406, 8.823981851187767, 0.7000000365078449, 1.9707963267948967]	[-2.0375798510810266, 8.814845189216058, 0.7000000365078449, 1.7707963267948967]	Right	[-164.6971958622536, 12.574152378103403]	0.24
91	[-2.1077645759191648, 9.152651382501025, 0.7270511901842838, 1.7707963267948967]	[-2.2945166553890406, 8.823981851187767, 0.7000000365078449, 1.9707963267948967]	Left	[-7.610096714583302, 2.704041442080851]	0.24
92	[-2.339538371030524, 9.289329500353436, 0.7270511901842838, 1.7707963267948967]	[-2.1077645759191648, 9.152651382501025, 0.7270511901842838, 1.7707963267948967]	Right	[-4.144554859865223, 1.995525131101529]	0.24
93	[-2.1223354328815223, 9.476206153949974, 0.7270511901842838, 1.5707963267948968]	[-2.339538371030524, 9.289329500353436, 0.7270511901842838, 1.7707963267948967]	Left	[-9.151572926596844, 2.9640361012533183]	0.24
94	[-2.422335432881522, 9.536206153949975, 0.7270511901842838, 1.5707963267948968]	[-2.1223354328815223, 9.476206153949974, 0.7270511901842838, 1.5707963267948968]	Right	[-14.158574596161015, 3.686764382533087]	0.24
