i	f_sup	f_swg	f_swg_id	traj_params	h_max
23	[-0.3730118804770278, 1.629974671496402, 0.20000000670552254, -5.551115123125783e-17]	[-0.6030118804770278, 1.829974671496402, 0.20000000670552254, -5.551115123125783e-17]	Left	0.02
24	[-0.2730118804770278, 1.829974671496402, 0.20000000670552254, 0.19999999999999996]	[-0.3730118804770278, 1.629974671496402, 0.20000000670552254, -5.551115123125783e-17]	Right	0.02
25	[-0.13527135653389138, 1.6538282890076599, 0.20000000670552254, -5.551115123125783e-17]	[-0.2730118804770278, 1.829974671496402, 0.20000000670552254, 0.19999999999999996]	Left	0.02
26	[-0.13527135653389136, 1.95382828900766, 0.20000000670552254, -0.20000000000000007]	[-0.13527135653389138, 1.6538282890076599, 0.20000000670552254, -5.551115123125783e-17]	Right	0.02
27	[-0.12613469456218218, 1.696891484699646, 0.20000000670552254, -0.20000000000000007]	[-0.13527135653389136, 1.95382828900766, 0.20000000670552254, -0.20000000000000007]	Left	0.02
28	[-0.01766336719294237, 1.9299879693122526, 0.20000000670552254, -0.4000000000000001]	[-0.12613469456218218, 1.696891484699646, 0.20000000670552254, -0.20000000000000007]	Right	0.02
29	[-0.11501795277010501, 1.6997227208115313, 0.20000000670552254, -0.20000000000000007]	[-0.01766336719294237, 1.9299879693122526, 0.20000000670552254, -0.4000000000000001]	Left	0.02
30	[0.03265603771278447, 1.9248724321923356, 0.20000000670552254, -5.551115123125783e-17]	[-0.11501795277010501, 1.6997227208115313, 0.20000000670552254, -0.20000000000000007]	Right	0.02
31	[-0.027343962287215542, 1.6748724321923356, 0.20000000670552254, -0.20000000000000007]	[0.03265603771278447, 1.9248724321923356, 0.20000000670552254, -5.551115123125783e-17]	Left	0.02
32	[0.022323370411549776, 1.919889076652646, 0.20000000670552254, -0.4000000000000001]	[-0.027343962287215542, 1.6748724321923356, 0.20000000670552254, -0.20000000000000007]	Right	0.02
33	[-0.00029663841000723834, 1.7123117773135499, 0.20000000670552254, -0.4000000000000001]	[0.022323370411549776, 1.919889076652646, 0.20000000670552254, -0.4000000000000001]	Left	0.02
34	[0.32837289290325156, 1.8990638567834257, 0.30000000074505806, -0.4000000000000001]	[-0.00029663841000723834, 1.7123117773135499, 0.20000000670552254, -0.4000000000000001]	Right	0.152
35	[0.34259532384180996, 1.6759098237519836, 0.30000000074505806, -0.4000000000000001]	[0.32837289290325156, 1.8990638567834257, 0.30000000074505806, -0.4000000000000001]	Left	0.152
36	[0.6712648551550687, 1.8626619032218594, 0.30000000074505806, -0.4000000000000001]	[0.34259532384180996, 1.6759098237519836, 0.30000000074505806, -0.4000000000000001]	Right	0.02
37	[0.7857542981985697, 1.5428304359901486, 0.30000000074505806, -0.4000000000000001]	[0.6712648551550687, 1.8626619032218594, 0.30000000074505806, -0.4000000000000001]	Left	0.02
38	[0.9025798008911649, 1.819148734191014, 0.30000000074505806, -0.20000000000000007]	[0.7857542981985697, 1.5428304359901486, 0.30000000074505806, -0.4000000000000001]	Right	0.02
39	[0.901782996323121, 1.5132086009909378, 0.30000000074505806, -0.4000000000000001]	[0.9025798008911649, 1.819148734191014, 0.30000000074505806, -0.20000000000000007]	Left	0.02
40	[0.9991375819002837, 1.743473849491659, 0.30000000074505806, -0.4000000000000001]	[0.901782996323121, 1.5132086009909378, 0.30000000074505806, -0.4000000000000001]	Right	0.02
41	[0.9938890957234096, 1.4742667667600728, 0.30000000074505806, -0.4000000000000001]	[0.9991375819002837, 1.743473849491659, 0.30000000074505806, -0.4000000000000001]	Left	0.02
42	[1.3225586270366683, 1.6610188462299487, 0.3999999947845936, -0.6000000000000001]	[0.9938890957234096, 1.4742667667600728, 0.30000000074505806, -0.4000000000000001]	Right	0.152
43	[1.3712252001171354, 1.324817173621671, 0.3999999947845936, -0.4000000000000001]	[1.3225586270366683, 1.6610188462299487, 0.3999999947845936, -0.6000000000000001]	Left	0.152
44	[1.6169992419701344, 1.5466169038993254, 0.3999999947845936, -0.20000000000000007]	[1.3712252001171354, 1.324817173621671, 0.3999999947845936, -0.4000000000000001]	Right	0.02
