i	f_sup	f_swg	f_swg_id	traj_params	h_max
379	[-2.0869994439072617, 8.164360192803398, 0.7000000365078449, 1.7707963267948965]	[-1.8869994439072615, 8.224360192803399, 0.7000000365078449, 1.5707963267948966]	Right	[-32.56669806394565, 5.591424696925447]	0.24
380	[-2.1869994439072613, 8.324360192803399, 0.7000000365078449, 1.7707963267948965]	[-1.8869994439072615, 8.224360192803399, 0.7000000365078449, 1.5707963267948966]	Right	[-211.08904592141553, 14.235360342631264]	0.24
381	[-1.8810593107071851, 8.325156997371442, 0.7000000365078449, 1.5707963267948966]	[-2.1869994439072613, 8.324360192803399, 0.7000000365078449, 1.7707963267948965]	Left	[-94.16121052535199, 9.507616005305321]	0.24
382	[-2.131059310707185, 8.425156997371442, 0.7000000365078449, 1.7707963267948965]	[-1.8810593107071851, 8.325156997371442, 0.7000000365078449, 1.5707963267948966]	Right	[-72.23859878095108, 8.32760798967585]	0.24
383	[-1.9231258352912328, 8.40608686885998, 0.7000000365078449, 1.9707963267948965]	[-2.131059310707185, 8.425156997371442, 0.7000000365078449, 1.7707963267948965]	Left	[-115.39520359174972, 10.525179117149492]	0.24
384	[-1.9350459951389365, 8.464890863530455, 0.7000000365078449, 1.9707963267948965]	[-2.131059310707185, 8.425156997371442, 0.7000000365078449, 1.7707963267948965]	Left	[-42.78052856895267, 6.4085339529563665]	0.24
385	[-2.0958930934009947, 8.33174353542855, 0.7000000365078449, 1.9707963267948965]	[-1.9350459951389365, 8.464890863530455, 0.7000000365078449, 1.9707963267948965]	Right	[-96.35905589130228, 9.617936039278396]	0.24
386	[-2.1886763441781767, 8.422799937593465, 0.7000000365078449, 2.1707963267948966]	[-1.9350459951389365, 8.464890863530455, 0.7000000365078449, 1.9707963267948965]	Right	[-288.69764275050863, 16.64781478274216]	0.24
387	[-2.1893534955550704, 8.552798173989244, 0.7000000365078449, 2.1707963267948966]	[-1.9350459951389365, 8.464890863530455, 0.7000000365078449, 1.9707963267948965]	Right	[-48.75452018755587, 6.841369700582891]	0.24
388	[-2.281459594955359, 8.513856339758378, 0.7000000365078449, 1.9707963267948965]	[-1.9350459951389365, 8.464890863530455, 0.7000000365078449, 1.9707963267948965]	Right	[-31.487985578148145, 5.498042029215693]	0.24
389	[-2.167342697770339, 8.757530987140628, 0.7000000365078449, 1.9707963267948965]	[-2.281459594955359, 8.513856339758378, 0.7000000365078449, 1.9707963267948965]	Left	[-6.876790830945575, 2.5693810923465112]	0.24
390	[-2.533227214702194, 8.852549513068697, 0.7000000365078449, 1.7707963267948965]	[-2.167342697770339, 8.757530987140628, 0.7000000365078449, 1.9707963267948965]	Right	[-5.390230207748452, 2.2747793298336685]	0.24
391	[-2.3339045163247474, 9.127632158670947, 0.7270511901842838, 1.5707963267948966]	[-2.533227214702194, 8.852549513068697, 0.7000000365078449, 1.7707963267948965]	Left	[-5.499697977367717, 2.298728474067306]	0.24
392	[-2.5839045163247474, 9.267632158670947, 0.7270511901842838, 1.5707963267948966]	[-2.3339045163247474, 9.127632158670947, 0.7270511901842838, 1.5707963267948966]	Right	[-5.1806497260618105, 2.2310554802230227]	0.24
393	[-2.383904516324747, 9.327632158670948, 0.7270511901842838, 1.5707963267948966]	[-2.5839045163247474, 9.267632158670947, 0.7270511901842838, 1.5707963267948966]	Left	[-22.588235294117432, 4.656684000697571]	0.24
394	[-2.5839045163247474, 9.467632158670948, 0.7270511901842838, 1.3707963267948966]	[-2.383904516324747, 9.327632158670948, 0.7270511901842838, 1.5707963267948966]	Right	[-23.999999999999744, 4.799999999999974]	0.24
395	[-2.633904516324747, 9.327632158670948, 0.7270511901842838, 1.7707963267948965]	[-2.383904516324747, 9.327632158670948, 0.7270511901842838, 1.5707963267948966]	Right	[-157.37704918032676, 12.291540473557971]	0.24
396	[-2.483585146839363, 9.592781337733445, 0.7270511901842838, 1.9707963267948965]	[-2.633904516324747, 9.327632158670948, 0.7270511901842838, 1.7707963267948965]	Left	[-11.964060671017503, 3.389026149821922]	0.24
397	[-2.227287081502118, 8.85334631763674, 0.7000000365078449, 1.5707963267948966]	[-2.533227214702194, 8.852549513068697, 0.7000000365078449, 1.7707963267948965]	Left	[-75.153202744975, 8.493943408993022]	0.24
